사업장명,소재지(지번)
우드스탁호프,경기도 성남시 수정구 신흥동 4102 
총각호프,경기도 성남시 수정구 태평동 5946 2층(일부) 
세원골,경기도 성남시 수정구 수진동 3003 1층 
구내식당,경기도 성남시 수정구 단대동 75 1층 
신불닭발,경기도 성남시 수정구 신흥동 5487-1 1층 
의천각,경기도 성남시 수정구 신흥동 6906 2층 
용해회관,경기도 성남시 수정구 단대동 4-2 1층 
제주국밥,경기도 성남시 수정구 수진동 3009 1층 
일능이,경기도 성남시 수정구 태평동 3545 2층 
장스(장's) 춘천닭갈비,경기도 성남시 수정구 태평동 3455 1층 
굴마을 낙지촌,경기도 성남시 수정구 수진동 3003 
미도향,경기도 성남시 수정구 신흥동 2537-2 1층 
산앤들,경기도 성남시 수정구 신흥동 5555 1층 
광주식당,경기도 성남시 수정구 신흥동 6905 1층 
희나식당,경기도 성남시 수정구 태평동 3124 1층 
고향순대국,경기도 성남시 수정구 수진동 3008 1층 
철원생고기집,경기도 성남시 수정구 수진동 387 1층 
춘양 숯불고기,경기도 성남시 수정구 태평동 6943 1층 
참진짜장,경기도 성남시 수정구 신흥동 5516 1층(일부) 
무대포석굴조개구이 해물칼국수,경기도 성남시 수정구 수진동 3379-1 수진현대아파트 101동 118호
오늘은분식,경기도 성남시 수정구 신흥동 3436-10 1층 
꼬치랜드,경기도 성남시 수정구 태평동 2381 1층 
본가한우정육식당,경기도 성남시 수정구 양지동 544 1층 
퍼줄 브런치카페,경기도 성남시 수정구 신흥동 4201 2층 
창성,경기도 성남시 수정구 양지동 72 1층 
산내들,경기도 성남시 수정구 신흥동 2463-4 지하 30호 
할매순대국,경기도 성남시 수정구 태평동 3765 1층일부호
1키로 탕수육 태평점,경기도 성남시 수정구 태평동 3618-1 1층 
아찌냉면,경기도 성남시 수정구 양지동 866 1층 
한솥도시락가천대점,경기도 성남시 수정구 태평동 5113-3 외1필지SM해그린101호 
왕십리 곱창,경기도 성남시 수정구 태평동 5566 1층 
본가철판볶음밥,경기도 성남시 수정구 신흥동 4151 1층 
명춘분식,경기도 성남시 수정구 수진동 2967 1층 
덕성식당,경기도 성남시 수정구 수진동 4619-7 (2층) 
고기나라,경기도 성남시 수정구 수진동 4568 1층 
셋거리 잔치국수,경기도 성남시 수정구 태평동 7339-8 1층 
청계냇가집,경기도 성남시 수정구 상적동 405-3 1층 
청계산 담백미,"경기도 성남시 수정구 금토동 272 1층,2층 "
돈막골,경기도 성남시 수정구 신흥동 921 1층 
본죽(산성역점),경기도 성남시 수정구 산성동 1528 1층 
마약낙곱새 성남점,경기도 성남시 수정구 신흥동 2606-3 1층 일부 
쟌비에,경기도 성남시 수정구 태평동 3512 1(일부)층 
청계산장,"경기도 성남시 수정구 상적동 212-6 1,2층 "
이삭토스트,경기도 성남시 수정구 태평동 5113-9 1층 109호
두친구분식,"경기도 성남시 수정구 신흥동 6949 A동 마열 5(일부),6,7,8호 "
황금왕족발,경기도 성남시 수정구 태평동 3794-3 1층 
불낙지양 보쌈군,경기도 성남시 수정구 신흥동 5486 1층 
산적꼬치랜드,경기도 성남시 수정구 태평동 2544 1층 
원조강뚝꼬치구이전문점(성남점),경기도 성남시 수정구 수진동 2946-2 2층 
제이브로,경기도 성남시 수정구 신흥동 5513 지층 
명품오리전문점,경기도 성남시 수정구 신흥동 5550 1층 
세라비,경기도 성남시 수정구 태평동 6832-1 2층 
옛날짜장,경기도 성남시 수정구 수진동 3409 1층 
정원중화요리,경기도 성남시 수정구 양지동 211 1층 
원조 춘천 닭갈비,경기도 성남시 수정구 산성동 849 1층 
저그앤비어,"경기도 성남시 수정구 태평동 7251 1층,2층 "
