사업장명,소재지(지번)
철길부산집 성남동서울대점,경기도 성남시 수정구 복정동 685-11 1층일부 
이번지 깡통집,경기도 성남시 수정구 복정동 685-11 지산빌딩 1층 일부호
피자헛 송파위례점,경기도 성남시 수정구 창곡동 508 아이플렉스 122호
루슨(LOOSEN),경기도 성남시 수정구 창곡동 550-3 1층(일부) 
스시안,경기도 성남시 수정구 양지동 547 1층(일부) 
고봉민 김밥인 위례역점,경기도 성남시 수정구 창곡동 547-2 으뜸프라자 1층 114호
이은호스시,경기도 성남시 수정구 창곡동 555-13 1층(일부) 
갯 마을,경기도 성남시 수정구 창곡동 547-2 으뜸프라자 202호
처갓집 양념치킨 태평점,경기도 성남시 수정구 태평동 2359 1층 
오오스시,경기도 성남시 수정구 창곡동 555-1 1층(일부) 
돈가돈 옛날삼겹살,경기도 성남시 수정구 신흥동 2518-2 1층(일부) 
숯불집,경기도 성남시 수정구 복정동 690 1층(일부) 
풀잎향 샤브샤브,경기도 성남시 수정구 수진동 2936 3층 
쏘자토스트 단대점,경기도 성남시 수정구 단대동 111-1 1층(일부) 
개성손만두,경기도 성남시 수정구 오야동 301-24 1(일부)층 
캠퍼,경기도 성남시 수정구 복정동 674-4 1층(일부) 
신라 주,경기도 성남시 수정구 수진동 526 지하1층(일부) 
통큰곱창,경기도 성남시 수정구 신흥동 5562 1층 일부 
정까페,경기도 성남시 수정구 수진동 33-1 1층 일부호
웰니스위례점 자연을 담은 식탁,경기도 성남시 수정구 창곡동 567 상가동 3층 
국수나무 위례 중앙점,경기도 성남시 수정구 창곡동 513-3 우성메디피아 1층 111호
성주집 흑염소&보양탕,경기도 성남시 수정구 신흥동 5626 1층(일부) 
베러댄레스트,경기도 성남시 수정구 창곡동 537-3 지하1층(일부) 
하오하오 짬뽕,경기도 성남시 수정구 창곡동 558-5 KHS HOUSE 1층 
뉴욕,경기도 성남시 수정구 신흥동 3434 1층 일부 
둥근달 전집,경기도 성남시 수정구 태평동 3517 1(일부)층 
안주마을,경기도 성남시 수정구 신흥동 6934-2 1(일부)층 
친친(chin chin),경기도 성남시 수정구 창곡동 513-3 우성메디피아 2층 201호
달포차,경기도 성남시 수정구 창곡동 557-1 주건축물제1동 1(일부)층 
단골집,경기도 성남시 수정구 산성동 1528-1 1(일부)층 
올리앤 위례점,경기도 성남시 수정구 창곡동 558-6 주건축물제1동 1층 
신전떡볶이 위례창곡점,경기도 성남시 수정구 창곡동 546-2 위례GM프라자 1층 109호
망향비빔국수 위례점,"경기도 성남시 수정구 창곡동 509-2 아이에스센트럴타워,1층 129호130호 "
청담한우,경기도 성남시 수정구 창곡동 548-8 1층 
진어 참치,경기도 성남시 수정구 창곡동 553-4 주건물제1동 지하1층 
엔제이 포차(N.J포차),경기도 성남시 수정구 신흥동 5270 1(일부)층 
댓짱 돈까스,경기도 성남시 수정구 창곡동 538-5 1층 
청계산담백미 가든,경기도 성남시 수정구 금토동 272-26 1층 
더 잘난 쭈꾸미,경기도 성남시 수정구 창곡동 551-4 1층 
철뚝집(위례점),경기도 성남시 수정구 창곡동 551 옥전1동 1층 
항아리 보쌈 위례점,경기도 성남시 수정구 창곡동 539-10 1층 
담소소사골순대 성남신흥점,경기도 성남시 수정구 신흥동 5517 1(일부)층 
스프링야드,경기도 성남시 수정구 태평동 7330 태평아파트 상가4동 1층 103호 
"옛날 순대국, 감자탕",경기도 성남시 수정구 수진동 65 1(일부)층 
소반이야기,경기도 성남시 수정구 양지동 1021 양우내안애아파트 지층 B07(일부) 
안면도 바지락 칼국수,경기도 성남시 수정구 창곡동 558-3 주건축물제1동 1층 
"주누 돈까스,냉면",경기도 성남시 수정구 창곡동 509-3 아이에스센트럴타워 2층 218호 
위례 쭈꾸미,경기도 성남시 수정구 창곡동 558-4 스타 존 주건축물제1동 1(일부)층 
전설의 치킨 위례점,경기도 성남시 수정구 창곡동 513-4 신성위캐슬타워 1층 102호 
뚱이네,경기도 성남시 수정구 복정동 639-1 1(일부)층 
백채김치찌개 복정점,경기도 성남시 수정구 복정동 678-5 외 1필지 1층 일부 
국수미가,경기도 성남시 수정구 복정동 678-5 1(일부)층 
술이 좋은날,경기도 성남시 수정구 태평동 3765 1(일부)층 
김대감 사주 주점,경기도 성남시 수정구 수진동 10 지층 
혜화동 돈까스 극장 성남점,경기도 성남시 수정구 신흥동 3785-2 1층(일부) 
홍짜장 위례점,"경기도 성남시 수정구 창곡동 509-1 우성트램타워, A-111호 "
포아이니,경기도 성남시 수정구 시흥동 324 판교 제2테크노밸리 LH 1단지 근린생활시설동 지하2층 11호 
전통맛집 할매순대국 태평역점,경기도 성남시 수정구 태평동 6985 1층 일부(101)호 
노블레스 피자,경기도 성남시 수정구 신흥동 4011 1층 
탄천한우,경기도 성남시 수정구 태평동 7065-3 1층 
홍구등갈비,경기도 성남시 수정구 태평동 3745-7 
장봉달설렁탕,"경기도 성남시 수정구 창곡동 522 워니스파크 제1동 101호,102호 "
더(The) 한돈,경기도 성남시 수정구 창곡동 548-7 1층 
맘스터치 성남신흥점,경기도 성남시 수정구 신흥동 5501 1층 일부호 
엄마밥상,경기도 성남시 수정구 수진동 1304 1층 일부 
철뚝집 태평역점,경기도 성남시 수정구 수진동 2960 1층 
노랑통닭,"경기도 성남시 수정구 창곡동 509-2 우성트램타워 A동 121,122호 "
화락 2009,경기도 성남시 수정구 태평동 6523 1층 104호 일부 
초원을 달리자,경기도 성남시 수정구 수진동 3237 2층 일부 
삼화식당,경기도 성남시 수정구 창곡동 551-15 1층 
전주 콩뿌리 콩나물국밥,경기도 성남시 수정구 창곡동 545-1 1층 
사이공본가,경기도 성남시 수정구 태평동 7288-13 1층 일부 
걷는나무,경기도 성남시 수정구 태평동 6493 2층 
당진아구찜,경기도 성남시 수정구 태평동 7338-3 1층 일부 
당진 아구찜,경기도 성남시 수정구 태평동 7338-4 1층 
배부장찌개,경기도 성남시 수정구 창곡동 551-9 1층 
육지와바다 안주마을,경기도 성남시 수정구 창곡동 509-3 2층 210호 
만송골갈비탕,"경기도 성남시 수정구 창곡동 513-6 이너매스 위례,2층 202호,203호(일부) "
태산,경기도 성남시 수정구 단대동 180-3 지1층 일부 
미자네 잔치국수,경기도 성남시 수정구 복정동 646-1 1층 일부 
청담이상 위례신도시점,경기도 성남시 수정구 창곡동 525-1 1층 
영동족발 위례직영점,경기도 성남시 수정구 창곡동 552-5 1층 일부 
카페 샤 누아,경기도 성남시 수정구 오야동 301-10 1층 일부 
아구의 정석,경기도 성남시 수정구 창곡동 523-7 1층 
소우스(Souse),"경기도 성남시 수정구 창곡동 543-1 1층, 지하1층 "
가마솥순대국밥 신흥점,경기도 성남시 수정구 신흥동 3779 2층 일부 
해저터널,경기도 성남시 수정구 신흥동 3809 1층 일부 
응암역소문난순대국,경기도 성남시 수정구 복정동 646 1층 
육담소,경기도 성남시 수정구 창곡동 555-9 1층 
호수꼬치 성남위례점,경기도 성남시 수정구 창곡동 549-6 1층 
후라이드 참 잘하는 집-성남2호점,경기도 성남시 수정구 태평동 3316 1층 일부(104)호 
대박포차,경기도 성남시 수정구 태평동 3524-2 1층 일부 
올레길 제주 뒷고기,경기도 성남시 수정구 태평동 3524-3 1층 
이가네(위례점),경기도 성남시 수정구 창곡동 548-2 1층 
솥뚜껑 바베큐 통닭 위례중앙점,경기도 성남시 수정구 창곡동 530 위례 아트리버푸르지오 1단지 상가동 1층 123호 
우리수육보쌈,경기도 성남시 수정구 창곡동 550-5 1층 일부 
루나펍(Luna Pub),경기도 성남시 수정구 복정동 714-3 1층 
명성수제숯불갈비,경기도 성남시 수정구 단대동 160-1 1층 
라와마라탕 성남점,경기도 성남시 수정구 신흥동 111 1층 
쉐프마딘,경기도 성남시 수정구 창곡동 513-4 신성위캐슬타워 2층 201호 
신가네 생선구이,경기도 성남시 수정구 수진동 3004 1층 일부 
박서윤네 닭발,경기도 성남시 수정구 신흥동 4238 1층 일부 
장수본가해장국 위례점,경기도 성남시 수정구 창곡동 546-6 1층 일부 
소담촌,경기도 성남시 수정구 단대동 180-3 엠지성남제일새마을금고빌딩 6층 일부호 
백채 김치찌개 위례신도시점,경기도 성남시 수정구 창곡동 523-5 1층 일부호
우봉집,경기도 성남시 수정구 창곡동 551-2 1층 
랜드마크카페,경기도 성남시 수정구 창곡동 513 에이플타워 1102호 일부호
카타,경기도 성남시 수정구 창곡동 547-1 지층 일부호
퇴근길포차,경기도 성남시 수정구 수진동 3398 1층 일부호
미가램,
믿고,경기도 성남시 수정구 창곡동 561-2 아롬타워 106(일부)호 
국내산 한돈 대패삼겹살,경기도 성남시 수정구 신흥동 4517 1층 일부호
롯데컬처웍스(주) 롯데시네마위례 매점,경기도 성남시 수정구 창곡동 505 위례 한화오벨리스크 센트럴스퀘어 지하1층 일부 
유진,경기도 성남시 수정구 신흥동 4506 지하1층호
노경성,경기도 성남시 수정구 창곡동 524-6 1층호
삼호 손칼국수,경기도 성남시 수정구 창곡동 562 아이페리온 303호
압구정봉구비어 위례점,경기도 성남시 수정구 창곡동 555-6 지하1층 일부 
로제파스타,"경기도 성남시 수정구 태평동 3678 주민신협행복빌딩, 지하1층 일부 "
라벨로,경기도 성남시 수정구 창곡동 509-2 우성트램타워 A동 2층 207호 
붓다텐 위례점,경기도 성남시 수정구 창곡동 524-7 101호
비컵앤씨컵,경기도 성남시 수정구 상적동 221-3 1층일부호
한드레시아,경기도 성남시 수정구 오야동 285-12 1층호
예감좋은 지금이곳,경기도 성남시 수정구 창곡동 509-2 우성트램타워 B동 202호
킹콩부대찌개 성남태평점,경기도 성남시 수정구 태평동 3598 1층호
팔딱팔딱,경기도 성남시 수정구 창곡동 509-3 아이에스센트럴타워 1층101호
호오탕훠궈(샤브샤브),"경기도 성남시 수정구 창곡동 509 중앙타워 B35호, B36호 "
빈대떡신사와여우막걸리,경기도 성남시 수정구 창곡동 509-2 우성트램타워 B동 1층 111호 
타코슈퍼,경기도 성남시 수정구 양지동 168 1층 일부 
영미포차,경기도 성남시 수정구 신흥동 5544 1층일부호
헬로미켈란,"경기도 성남시 수정구 창곡동 529 위례아트리버푸르지오2단지 상가동 2층 202,203호 "
팬더비어,경기도 성남시 수정구 태평동 2408 1층일부호
곱분이 위례점,경기도 성남시 수정구 창곡동 509-2 우성트램타워 B동 1층 116호 
압구정화로구이 위례점,"경기도 성남시 수정구 창곡동 530 위례아트리버푸르지오1단지 상가동 1층 124,125호 "
해월숯불고기,경기도 성남시 수정구 창곡동 549-1 1층호
김동희동태탕,경기도 성남시 수정구 창곡동 547-8 1층일부호
홍쉐프라면,경기도 성남시 수정구 시흥동 200-4 1층일부호
고기로 한끼,경기도 성남시 수정구 태평동 5113-7 일성오퍼스원 1층 109호 
뱅스타운(Banks town),경기도 성남시 수정구 창곡동 543-5 1층일부호
펍피맥,경기도 성남시 수정구 창곡동 550-4 1층호
9292,경기도 성남시 수정구 수진동 2980-1 1층 
사랑해베이글 위례점,경기도 성남시 수정구 창곡동 525-3 1층 
국밥참맛있는집 성남산성역점,경기도 성남시 수정구 산성동 1528 1층일부호
쿠치나디까사 (위례점),"경기도 성남시 수정구 창곡동 559-2 슈퍼스타타워 2층 201,202 "
명가통닭,경기도 성남시 수정구 산성동 1391 1층(일부) 
레이지수잔,경기도 성남시 수정구 창곡동 505 위례 한화오벨리스크 센트럴스퀘어 2층 2229호
신흥동식당,경기도 성남시 수정구 신흥동 5493-3 1층 
어장관리,경기도 성남시 수정구 단대동 66-5 1층호
춘형가,"경기도 성남시 수정구 상적동 21-1 1,2층호"
따팡양꼬치,경기도 성남시 수정구 수진동 79 1층일부호
태평서울병원 소망장례식장,경기도 성남시 수정구 수진동 4567-30 지하1층 
초밥쇼쿠닌,경기도 성남시 수정구 창곡동 509-3 아이에스센트럴타워 2층216호
전국5대짬뽕,경기도 성남시 수정구 수진동 4018 1층 
램타운,경기도 성남시 수정구 창곡동 509-3 아이에스센트럴타워 2층203호
신흥상회,"경기도 성남시 수정구 신흥동 4124 2층 219, 220호 "
샤브플레르,"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 지하1층 B23호"
창곡식당,"경기도 성남시 수정구 창곡동 559-5 이너매스우남, 8층 806일부호"
데일리딜라이트,"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 2층 211호"
유천푸드,경기도 성남시 수정구 수진동 2926 1층 일부호
꼬치의품격,경기도 성남시 수정구 태평동 3628 1층 
빨간호랑이,경기도 성남시 수정구 창곡동 537-3 1층 일부(4~5호) 
오늘찬앤식당,경기도 성남시 수정구 수진동 1305 1층 
아하 김밥,경기도 성남시 수정구 수진동 3013 1층 일부호
려기(위례점),"경기도 성남시 수정구 창곡동 513 에이플타워, 2층 210호,호"
인생포차,"경기도 성남시 수정구 수진동 2193 금성빌딩, 1층 일부호"
박이연 속초코다리찜,"경기도 성남시 수정구 창곡동 560 남위례역아이파크 2층 206, 207호 "
위위(WeWe),경기도 성남시 수정구 창곡동 543 지하1층 
패밀리포차,경기도 성남시 수정구 태평동 3738 1층 일부호
용스시,경기도 성남시 수정구 태평동 3751-13 2층 일부호
돈짱돈까스,경기도 성남시 수정구 태평동 3691-1 1층 일부호
스시홍,경기도 성남시 수정구 태평동 3418-1 1층 일부호
한성돈까스(위례점),"경기도 성남시 수정구 창곡동 563 위례역 푸르지오 6단지, 2층 근린생활시설8동 6A 20호"
본죽앤비빔밥 위례창곡점,"경기도 성남시 수정구 창곡동 513-2 위례건아타워, 1층 105호"
중앙한우곱창,경기도 성남시 수정구 태평동 5507 1층 
반가쿠,경기도 성남시 수정구 창곡동 525-5 1층 
펀비어킹(우남점),"경기도 성남시 수정구 창곡동 562 아이페리온, 2층 208호"
콜드앤브런치,"경기도 성남시 수정구 시흥동 285-2 판교창조경제밸리 기업지원허브, 1층 110일부호"
시우정,"경기도 성남시 수정구 심곡동 204 그늘집 위지 상 1호, 1층 일부호"
백옥양꼬치,경기도 성남시 수정구 수진동 79 1층 일부호
삼도순대국,경기도 성남시 수정구 시흥동 190-1 1층 
더 제루(THE JERU),경기도 성남시 수정구 창곡동 554-4 1층 일부호
땡스바(Thank's Bar),경기도 성남시 수정구 신흥동 4137 2층 
명가일번지 정육식당,"경기도 성남시 수정구 수진동 3006 외 1필지, 1층, 2층, 3층 "
큰산아래 염소이야기 판교점,"경기도 성남시 수정구 시흥동 21-4 1층, 2층 "
벡스케밥(BEK's KEBAB),경기도 성남시 수정구 태평동 6151-24 1층 일부호
청년다방 위례신도시점,"경기도 성남시 수정구 창곡동 509-2 우성트램타워, 1층 A동 112호"
하이보,"경기도 성남시 수정구 창곡동 509-2 우성트램타워, 3층 306호, 307호, 308호 B동 "
행복한소풍,"경기도 성남시 수정구 상적동 216-2 1층, 2층 "
어부살꽃게,경기도 성남시 수정구 신흥동 5279 1층 일부호
크래프트아일랜드 위례점,"경기도 성남시 수정구 창곡동 562 아이페리온, 1층 107호, 108호 "
케이큐(KQ)마인드 게임,경기도 성남시 수정구 신흥동 4168 2층 
가마치통닭(위례점),"경기도 성남시 수정구 창곡동 509-3 아이에스센트럴타워, 1층 137호"
도툼횟집,"경기도 성남시 수정구 창곡동 547-5 가하빌딩, 1층 106호"
동네포차,경기도 성남시 수정구 태평동 3491-1 1층 일부 
고즈넉하다,"경기도 성남시 수정구 창곡동 565 위례역 푸르지오 4단지, 1층 근린생활시설6동 4B104호"
볶음밥도사 성남점,경기도 성남시 수정구 신흥동 2808 1층 일부 
더그레이,"경기도 성남시 수정구 상적동 95-2 외 2필지, 3층 일부 "
소주물 위례신도시점,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어, 1층 1014호 1015호 "
꼭지호프,"경기도 성남시 수정구 수진동 84-2 외 1필지, 3층 일부 "
라 부솔라(LA BUSSOLA),경기도 성남시 수정구 창곡동 539-4 1층 
수정이네,경기도 성남시 수정구 태평동 3307-75 지하1층 일부 
배달식탁,경기도 성남시 수정구 신흥동 3810 2층 일부 
쩡이네 맛집,"경기도 성남시 수정구 태평동 5112 덕영빌딩,1층(일부) "
강릉엄지네꼬막집위례점,"경기도 성남시 수정구 창곡동 507 위례 보미리즌빌, 2층 201호, 202호 "
또봉이통닭(성남위례점),"경기도 성남시 수정구 창곡동 519 위례 센트럴 푸르지오, 1층 5417동 103호"
탕마로 육개장,"경기도 성남시 수정구 복정동 645-8 태영빌딩, 1층 "
신 차돌곱창,경기도 성남시 수정구 신흥동 4180 1층 일부 
깨돌이김밥,"경기도 성남시 수정구 태평동 6510 평화빌딩, 1층 일부 "
프렌즈골프앤펍(Golf&Pub),"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 9층 912호 일부 "
하나샤브샤브(위례점),"경기도 성남시 수정구 창곡동 513-2 우성메디피아, 2층 206호"
샤브올데이 위례점,"경기도 성남시 수정구 창곡동 509-2 아이에스센트럴타워 2층 206,207,208호 "
신의명가코다리,"경기도 성남시 수정구 수진동 4539 세일띠아모아파트, 1층 101호 일부 "
기억창고,경기도 성남시 수정구 상적동 240-1 1층 
노을,경기도 성남시 수정구 수진동 3151 지층 일부 
광장닭발치킨,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어, 1층 1036호"
펀비어킹(태평역점),"경기도 성남시 수정구 수진동 4539 세일띠아모아파트, 1층 101호 일부 "
노랑통닭 신흥점,경기도 성남시 수정구 신흥동 4132 1층 
빚짜 위례점,"경기도 성남시 수정구 창곡동 0 위례우남역 퍼스트푸르지오시티, 지하1층 B130호"
릴리펏 위례점,"경기도 성남시 수정구 창곡동 560 위례우남역아이파크, 2층 213일부호, 214일부호 "
샐러비 성남점,경기도 성남시 수정구 신흥동 4123 2층 
플로렌스파티하우스 위례점,"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 12층 1211-1호~1214-2 "
스시콜,경기도 성남시 수정구 단대동 95-6 1층 일부 
홀썸치킨 위례점,"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 1층 134호,135호,136호 "
타노시이,경기도 성남시 수정구 창곡동 551-8 1층 일부 
고창풍천장어 위례직영점,경기도 성남시 수정구 창곡동 529 아트리버 푸르지오 112호 
중앙사우나식당,경기도 성남시 수정구 태평동 3693-25 지하1층 일부호 
예쁜며느님밥상,"경기도 성남시 수정구 신흥동 173 우찬셀레스빌, 2층 215호, 216호 "
인디안섬머,경기도 성남시 수정구 태평동 5691 1층 일부 
청춘포차,경기도 성남시 수정구 신흥동 5470 1층 일부 
펜타커피,"경기도 성남시 수정구 시흥동 294-2 판교제2테크노밸리 기업성장센터, 지하1층 B104호"
응급실국물떡볶이 태평점,경기도 성남시 수정구 태평동 3473-3 1층 일부 
배달돼지 성남1호점,경기도 성남시 수정구 수진동 585 1층 일부 
돗토리수(水),"경기도 성남시 수정구 창곡동 509-1 우성트램타워, 1층 B동 117호"
낮차밤술,"경기도 성남시 수정구 수진동 3011 예농빌딩, 외 3필지 2층 일부 "
동경,경기도 성남시 수정구 신흥동 5618 지하2층 일부 
역전국밥,"경기도 성남시 수정구 수진동 4539 세일띠아모아파트, 1층 101호 일부 "
루미너스 카페앤바(Luminous Cafe&Bar),"경기도 성남시 수정구 창곡동 507 위례 보미리즌빌, 2층 상가동 205호"
건강밥상 곤드레,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어, 2층 2205호, 2206호, 2207호 "
채선당행복가마솥밥,"경기도 성남시 수정구 신흥동 2463-5 세이브존, 지하1층 일부 "
소담촌 위례점,경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워 507호 
두찜 태평점,경기도 성남시 수정구 태평동 5592 1층 
가선당,경기도 성남시 수정구 단대동 61-6 1층 
마루국시,경기도 성남시 수정구 단대동 64-7 1층 일부 
롯데시네마 성남중앙관,경기도 성남시 수정구 신흥동 4124 8층 804호
찌개의역사 위례광장점,경기도 성남시 수정구 창곡동 508 아이플렉스 116호
수유리 우동집,"경기도 성남시 수정구 창곡동 508 아이플렉스, 1층 106호"
리또 기로스,"경기도 성남시 수정구 복정동 678-7 수전빌딩, 1층 일부 105호 "
영풍치킨,"경기도 성남시 수정구 신흥동 4218 시민로 140, 1층 "
윤가네갈비이야기,"경기도 성남시 수정구 복정동 686-8 1층,지상 "
정미자 신림동또순이순대(태평점),"경기도 성남시 수정구 태평동 3691-9 1층,(일부) "
왕중왕흑오리,"경기도 성남시 수정구 수진동 2955 1층,(일부) "
꾸석지돌판한우 위례점,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어,1층 1032,1033호 0호"
신마장훠궈,경기도 성남시 수정구 수진동 46 1층(일부) 
토리네김밥,"경기도 성남시 수정구 신흥동 4124 1층 112,113호 "
"위례닭발, 지금","경기도 성남시 수정구 창곡동 562-1 위례우남역KCC웰츠타워,1층 1013호 "
원할머니보쌈족발 위례점,"경기도 성남시 수정구 창곡동 565 위례역 푸르지오 4단지, 1층 4B 107GH "
사송,경기도 성남시 수정구 사송동 337-1 1층 
호식당,"경기도 성남시 수정구 태평동 5113-3 SM해그린,1층 108호 "
모락,경기도 성남시 수정구 오야동 225-12 1층 
소주신랑 안주각시,경기도 성남시 수정구 수진동 2979 1층(일부) 
망치돈까스,"경기도 성남시 수정구 창곡동 513-2 우성메디피아,2층 204호 "
버섯 잔치집,"경기도 성남시 수정구 수진동 4557 밀란체1,1층 104호 "
택이네 조개전골(성남신흥역점),"경기도 성남시 수정구 신흥동 4180 1층(일부), 104호 "
뽕가요,경기도 성남시 수정구 단대동 69-7 지하1층 
위례 비엔나커피하우스(우남역점),경기도 성남시 수정구 창곡동 553-5 1층 
포메인(신흥 롯데시네마타워점),경기도 성남시 수정구 신흥동 4124 7층 704호 704-1호 
만포낙지골,"경기도 성남시 수정구 태평동 3430 MG성남수정새마을금고,지하1층(일부) "
마리오븐,경기도 성남시 수정구 시흥동 293 1층 117호 
황해도 아바이순대,"경기도 성남시 수정구 창곡동 508 아이플렉스,1층 112,113호 "
정글비 위례신도시점,"경기도 성남시 수정구 창곡동 508 아이플렉스,2층202호(일부) "
(주)케이에프씨코리아 성남태평점,"경기도 성남시 수정구 태평동 7288-17 대동빌딩,1층 일부호 "
우마이,경기도 성남시 수정구 신흥동 4508 지하1층 B101호 
두마리치킨 마당,경기도 성남시 수정구 신흥동 6062 1층 일부 
드루와,"경기도 성남시 수정구 단대동 100 푸르지오,1층 105호 "
맘마죠,경기도 성남시 수정구 신흥동 6881 지하1층(일부) 
진수제비,경기도 성남시 수정구 태평동 3486-3 1층 
지선당,경기도 성남시 수정구 창곡동 563 위례역 푸르지오 6단지 근린생활시설2동 6A 118호
티앤티푸드,경기도 성남시 수정구 태평동 3647 1층 일부 
삼대떡볶이 수진점,경기도 성남시 수정구 수진동 1531 1층 
카페리빈 판교점,"경기도 성남시 수정구 시흥동 293 1층,122호 "
태평왕갈비탕,경기도 성남시 수정구 태평동 5113-9 경원프라자 1층 110-2호 
하루엔소쿠 판교점,경기도 성남시 수정구 시흥동 293 1층 121호 
옛골명가,경기도 성남시 수정구 상적동 240-27 1층 전부 
택이네 조개전골,경기도 성남시 수정구 창곡동 550-2 1층101호 
행복한 한상,경기도 성남시 수정구 태평동 3817 1층 
진강정,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어,1층1080호(일부) "
블리스버거 판교2밸리점,경기도 성남시 수정구 시흥동 293 지하1층 116호 
이태리부대찌개 제2판교점,경기도 성남시 수정구 시흥동 293 지하1층 B113호 
개포동 삼겹살,경기도 성남시 수정구 수진동 2072 1층 
가장맛있는족발 남위례역점,경기도 성남시 수정구 창곡동 547-12 1층(일부) 
써니호프,경기도 성남시 수정구 태평동 3128 1층(일부) 
스시메이커,경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어 2층 2246 일부호 
교 닭개장,"경기도 성남시 수정구 양지동 1021 양우내안애아파트,지하1층B06호(일부) "
풍경한식뷔페,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 114~116호 "
마리오븐 2호,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,지하1층B110호 "
연변찹쌀순대국,경기도 성남시 수정구 수진동 3237 1층(일부) 
김밥&닭발,경기도 성남시 수정구 태평동 2294 1층(일부) 
복정각,경기도 성남시 수정구 복정동 686-9 1층103호 
스시후야,경기도 성남시 수정구 태평동 7339-5 1층(일부) 
위례집(화로),"경기도 성남시 수정구 창곡동 509-1 우성트램타워,B동1층121호 "
성호프포차,경기도 성남시 수정구 신흥동 5544-1 1층(일부) 
전주콩나물 국밥,경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터1층 120호 
본죽 앤 비빔밥카페 위례역점,"경기도 성남시 수정구 창곡동 547-6 정프라자,1층 가-103호 "
연안식당 성남세이브존점,"경기도 성남시 수정구 신흥동 2463-5 세이브존,지하1층(일부호) "
연못둔치,경기도 성남시 수정구 금토동 498 1층 
자가제빵 선명희 피자 위례점,"경기도 성남시 수정구 창곡동 536 위례리버스토리,1층 109호 "
오늘애김밥 위례창곡점,"경기도 성남시 수정구 창곡동 513 에이플타워,1층 111호 "
설맥 위례점,"경기도 성남시 수정구 창곡동 509-1 우성트램타워,A동1층119호 "
마부 마라탕&샹궈 위례점,"경기도 성남시 수정구 창곡동 509-2 아이에스센트럴타워,1층138호 "
탑건 TOP GUN,경기도 성남시 수정구 오야동 223-5 1층 101호 
명가통닭 수진점,"경기도 성남시 수정구 수진동 4538-3 태평오피스텔,1층101호 "
대동집 위례점,경기도 성남시 수정구 창곡동 551-14 1층 
장미계,경기도 성남시 수정구 고등동 396-24 1층 
일신정육식당,경기도 성남시 수정구 창곡동 555-11 1층 일부 
후토루라멘,경기도 성남시 수정구 신흥동 4118 1층(일부) 
라라스페이스,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 118호 "
치킨파머스 위례중앙점,"경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워,1층140,141호 "
우리동네푸드,경기도 성남시 수정구 신흥동 4477 1층(일부) 
맛찬들 왕 소금구이 위례점,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어,1층1029,1030,1043,1044호 "
흥부네솥뚜껑삼겹살,경기도 성남시 수정구 단대동 161-2 2층 
인사동 모퉁이,경기도 성남시 수정구 신흥동 4510 1층(일부) 
겐코쇼쿠도 복정점,"경기도 성남시 수정구 복정동 709-13 지산빌딩,1층(일부) "
밀리토피아호텔 B1F 연회장,경기도 성남시 수정구 창곡동 566 B동 1층(일부) 
밀리토피아호텔 1F 연회장,경기도 성남시 수정구 창곡동 566 B동 1층(일부) 
밀리토피아호텔 2F 연회장,경기도 성남시 수정구 창곡동 566 B동 2층(일부) 
펀 비어킹(단대점),경기도 성남시 수정구 단대동 161-3 
이가주방,경기도 성남시 수정구 복정동 692-14 1층 일부호(101호) 
두마리찜닭두찜위례점,경기도 성남시 수정구 창곡동 550-3 1층 일부 
교촌치킨 성남위례점,"경기도 성남시 수정구 창곡동 547-8 새움빌딩 1, 2호 "
촌놈집 위례점,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어,2층2201호 "
유경식당,"경기도 성남시 수정구 창곡동 505 위례 한화 오벨리스크 센트럴스퀘어 1층 1058호,1059호 "
혼자샤브,"경기도 성남시 수정구 신흥동 4124 3층 319,320호 "
남바완돈카츠,경기도 성남시 수정구 신흥동 6051 2층 
진이네 보물촌 꺼먹돼지,경기도 성남시 수정구 창곡동 551-3 1층 
또봉이통닭(단대자이푸르지오점),경기도 성남시 수정구 단대동 190-10 1층 
